City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Kimbe,PG,79.29,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
367,Birin,NP,45.45,clear sky,26.8865,88.0718,Sun Hotel and Lodge
368,Anahuac,MX,69.06,overcast clouds,27.2333,-100.15,Hotel Anáhuac
369,Marinette,US,37.85,overcast clouds,45.1,-87.6307,Best Western Riverfront Inn
370,Cocobeach,GA,79.11,broken clouds,1.0002,9.5823,Motel Iboga
374,Tvoroyri,FO,45.34,overcast clouds,61.5556,-6.8111,Hotel Tvøroyri
375,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
376,Port Hawkesbury,CA,36.91,light rain,45.6169,-61.3485,Hearthstone Inn Port Hawkesbury
378,La Asuncion,VE,75.2,light rain,11.0333,-63.8628,Hotel La Ciudad
379,Vaitape,PF,81.48,light rain,-16.5167,-151.75,Oa Oa Lodge
380,Tikapur,NP,47.28,clear sky,28.5,81.1333,Banana Agro Resort
382,Sao Gabriel Da Cachoeira,BR,71.42,light rain,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
383,Pimentel,PE,68.29,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
384,Sampit,ID,86.09,overcast clouds,-2.5333,112.95,Hotel Sultan
388,Tarakan,ID,74.7,light rain,3.3,117.6333,Hotel Dynasty
391,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
393,Bocanda,CI,67.55,clear sky,7.0626,-4.4995,L'auberge
397,Sao Joao Da Barra,BR,75.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
398,Kihei,US,75.22,broken clouds,20.785,-156.4656,Maui Beach Resort
399,Paranaiba,BR,72.84,moderate rain,-19.6772,-51.1908,Hotel Sul
400,Ngorongoro,TZ,48.06,scattered clouds,-3.2397,35.4875,&Beyond Ngorongoro Crater Lodge
402,Okoritofulpos,HU,45.1,overcast clouds,47.9186,22.5081,Szamos Hotel
406,Pemba,MZ,76.55,overcast clouds,-12.974,40.5178,Hotel Rafael
407,Ahipara,NZ,68.18,moderate rain,-35.1667,173.1667,YHA Ahipara
408,Astoria,US,45.86,overcast clouds,46.1879,-123.8313,Hotel Elliott Astoria
411,Dillon,US,67.03,overcast clouds,34.4166,-79.3712,Quality Inn
414,Shush,IR,57.6,overcast clouds,32.1942,48.2436,هتل آپادانا
415,Prince Rupert,CA,37.54,overcast clouds,54.3161,-130.3201,Crest Hotel
416,Calatayud,ES,39.56,clear sky,41.3535,-1.6432,Arco San Miguel
417,Talcahuano,CL,64.08,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
419,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
425,Dhidhdhoo,MV,79.2,few clouds,6.8833,73.1,Cinnamon Island
431,Nouadhibou,MR,68.04,clear sky,20.931,-17.0347,Hotel valencia
432,Kingston,JM,77.95,few clouds,17.997,-76.7936,Aphrodite Hotel
433,Pangai,TO,80.38,overcast clouds,-19.8,-174.35,Billy's Place
435,Two Rivers,US,37.98,mist,44.1539,-87.5693,Baymont by Wyndham Manitowoc Lakefront
436,Mananjary,MG,74.16,light rain,-21.2167,48.3333,Ideal Hotel Annexe
437,Mazamari,PE,70.34,overcast clouds,-11.3258,-74.5308,Hospedaje El Conquistador
440,Sedalia,US,40.91,overcast clouds,38.7045,-93.2283,Hotel Bothwell
442,Cabinda,AO,78.04,light rain,-5.55,12.2,Hotel Mayombe
444,Ponta Grossa,BR,64.06,overcast clouds,-25.095,-50.1619,Hotel São Marcos
445,Patan,NP,43.18,mist,27.6667,85.3333,Hotel Goodwill
446,Rabo De Peixe,PT,60.31,broken clouds,37.8,-25.5833,Pico do Refugio
449,Csanadpalota,HU,43.18,overcast clouds,46.25,20.7333,Hotel Nadlac
450,Naze,JP,58.12,scattered clouds,28.3667,129.4833,ビジネス旅館畠山
452,Baghdad,IQ,46.31,broken clouds,33.3406,44.4009,AL Bedaa Hotel
453,Lazaro Cardenas,MX,75.49,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
455,Diamantino,BR,72.97,light rain,-14.4086,-56.4461,Hotel kayaby
457,Rock Sound,BS,77.31,broken clouds,24.9,-76.2,Rock Sound Club
459,Salinopolis,BR,77.92,broken clouds,-0.6136,-47.3561,Hotel Salinópolis
460,Dakar,SN,75.67,overcast clouds,14.6937,-17.4441,翁记小吃
461,Margate,GB,54.88,overcast clouds,51.3813,1.3862,The Reading Rooms
462,Porto Santo,PT,62.98,broken clouds,33.072,-16.3415,Praia Dourada
464,Chiman,PK,43.97,clear sky,32.5463,73.8138,Subhan Marquee
468,Tottori,JP,45.43,light rain,35.5,134.2333,とらや旅館
470,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
471,Itarema,BR,79.12,scattered clouds,-2.9248,-39.9167,Pousada Oásis
473,Mahajanga,MG,75.22,light rain,-15.7167,46.3167,Vahiny Hotel
474,Palmas,BR,73.27,scattered clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
475,La Romana,DO,71.96,few clouds,18.4273,-68.9728,Hotel Frano
477,Brownwood,US,53.6,scattered clouds,31.7093,-98.9912,Hampton Inn Brownwood
479,Sorland,NO,37.26,clear sky,67.667,12.6934,Fagmek Resorts
480,Namibe,AO,74.39,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
488,Hambantota,LK,75.51,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
489,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,losmen Surya
490,La Palma,US,59.52,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
491,Inirida,CO,71.71,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
494,Asgabat,TM,49.06,clear sky,37.95,58.3833,Kuwwat Myhmanhanasy
495,Pochutla,MX,72.57,broken clouds,15.7432,-96.4661,Posada San Jose
496,Jacareacanga,BR,70.54,broken clouds,-6.2222,-57.7528,Hotel São Cristovão
501,Henderson,US,51.84,broken clouds,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
503,Tucuman,AR,68.0,clear sky,-26.8241,-65.2226,Suites San Luis
505,Marsh Harbour,BS,75.33,clear sky,26.5412,-77.0636,Lofty Fig Villas
506,Vanimo,PG,78.22,moderate rain,-2.6741,141.3028,CBC Guesthouse
508,Oyama,JP,46.58,clear sky,36.3,139.8,東横イン 小山駅東口1
509,Canto Do Buriti,BR,72.21,overcast clouds,-8.11,-42.9444,Novo Hotel
510,San Cristobal,VE,68.18,few clouds,7.7669,-72.225,Terra Sur
512,Vila Do Maio,CV,72.39,overcast clouds,15.1333,-23.2167,Residencial Jardins De Maio
513,Veraval,IN,63.55,clear sky,20.9,70.3667,Shyam
514,Rocha,UY,63.93,clear sky,-34.4833,-54.3333,Hotel Municipal
516,Cape Coast,GH,77.45,broken clouds,5.1053,-1.2466,Mighty Victory Hotel
517,Dubbo,AU,82.53,scattered clouds,-32.25,148.6167,Blue Gum Motel
519,Gunjur,GM,73.51,scattered clouds,13.2019,-16.7339,Footsteps Eco Lodge
522,Namatanai,PG,82.9,moderate rain,-3.6667,152.4333,Namatanai Hotel
523,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
525,Shimoda,JP,49.1,clear sky,34.6667,138.95,ホテルウラガ
526,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,Ibis Styles
529,Owando,CG,69.57,broken clouds,-0.4819,15.8999,Hotel de l'Eglise
531,Camacha,PT,60.22,broken clouds,33.0833,-16.3333,Praia Dourada
533,Pokhara,NP,50.05,clear sky,28.2333,83.9833,Hotel Annapurna View Sarangkot
